speaker,island,word,f0,duration
TA,Atiu,vai,189.8671754,0.04
TA,Atiu,vai,188.0227895,0.05
TA,Atiu,vai,119.5297163,0.07
TA,Atiu,vai,178.748869,0.09
TA,Atiu,vai,134.2614721,0.04
TA,Atiu,vai,129.6852025,0.07
TA,Atiu,vai,140.6741111,0.05
TA,Atiu,vai,148.3552355,0.03
TA,Atiu,vai,149.0276457,0.08
TA,Atiu,vai,121.3587604,0.07
TA,Atiu,vai,125.0487396,0.06
TA,Atiu,vai,NA,0.06
TA,Atiu,vai,124.4151001,0.05
TA,Atiu,vai,108.4100927,0.08
TA,Atiu,vai,142.023111,0.1
TA,Atiu,vai,142.6653253,0.03
TA,Atiu,vai,145.6234953,0.03
TA,Atiu,vai,159.0158766,0.04
TA,Atiu,vai,148.2778565,0.08
TA,Atiu,vai,135.6223394,0.03
TA,Atiu,vai,181.7689753,0.03
TA,Atiu,vai,147.7929191,0.04
TA,Atiu,vaipuke,170.9854588,0.04
TA,Atiu,vaipuke,139.4387778,0.04
TA,Atiu,vaka,114.2397704,0.09
TA,Atiu,varaoa,135.0619693,0.03
TA,Atiu,varaoa,153.3428709,0.03
TA,Atiu,varaoa,144.6750427,0.03
TA,Atiu,vari,123.1471312,0.05
TA,Atiu,vari,128.242259,0.03
TA,Atiu,varu,123.9091418,0.07
TA,Atiu,varu,126.5064454,0.08
TA,Atiu,vaꞌine,145.0043738,0.03
TA,Atiu,vaꞌine,112.5395067,0.07
TA,Atiu,vaꞌine,189.7326132,0.03
TA,Atiu,vaꞌo,126.9820295,0.03
TA,Atiu,vaꞌo,178.4605599,0.04
TA,Atiu,vāvia,151.8107855,0.07
TA,Atiu,vāvia,157.3355461,0.12
TA,Atiu,vāvia,158.5430404,0.07
TA,Atiu,vāvia,148.8692506,0.11
TA,Atiu,vāvia,201.2710096,0.13
TA,Atiu,vāvia,231.971856,0.11
TA,Atiu,vāvia,211.906936,0.05
TA,Atiu,vāvia,210.5143696,0.03
TA,Atiu,vāvia,138.031526,0.06
TA,Atiu,vāvia,130.9194261,0.1
TA,Atiu,vē,NA,0.01
TA,Atiu,vēꞌi,124.1806732,0.01
TA,Atiu,vēꞌi,155.8058592,0.01
TA,Atiu,vēꞌi,129.0175733,0.01
TA,Atiu,vī,149.425483,0.1
TA,Atiu,vī,116.6304411,0.11
TA,Atiu,āvota,124.3542617,0.06
TA,Atiu,ꞌakavā,134.4331227,0.19
TA,Atiu,ꞌakavā,123.237413,0.14
TA,Atiu,ꞌakavā,134.4331227,0.19
TA,Atiu,ꞌakavā,123.237413,0.14
TA,Atiu,ꞌakavā,107.7380018,0.04
TA,Atiu,ꞌakavā,107.7380018,0.04
TA,Atiu,ꞌakaꞌārāveiꞌanga,123.6036058,0.12
TA,Atiu,ꞌārāvei,127.0576533,0.07
TA,Atiu,ꞌārāvei,124.6827481,0.06
TA,Atiu,ꞌārāvei,131.6703988,0.11
TA,Atiu,ꞌārāvei,133.6134427,0.1
JA,Mauke,ava,186.1659552,0.04
JE,Mauke,ava,218.4407187,0.11
JE,Mauke,ava,181.9645768,0.09
JE,Mauke,ava,167.2372286,0.09
JE,Mauke,ava,149.2642362,0.08
JE,Mauke,ava,153.962427,0.09
MM,Mauke,ava,150.9943109,0.03
MM,Mauke,ava,157.7148786,0.03
JA,Mauke,avaava,136.9873555,0.09
JA,Mauke,avaava,97.23923117,0.03
JA,Mauke,avaava,175.1050425,0.11
JA,Mauke,avaava,163.9768953,0.11
JA,Mauke,avaavaꞌia,141.7334312,0.06
JA,Mauke,avaavaꞌia,135.8406994,0.06
JE,Mauke,avaiki,217.5247379,0.04
JE,Mauke,avaiki,222.0485433,0.08
MSC,Mauke,avaiki,NA,0.06
JE,Mauke,avanā,177.1422746,0.08
JE,Mauke,avanā,170.4506372,0.08
JE,Mauke,avata,NA,0.05
MSC,Mauke,evangeria,149.7281467,0.08
MM,Mauke,evenheria,169.3679584,0.01
JA,Mauke,improveꞌia,175.9805259,0.03
JE,Mauke,iva,192.2859594,0.03
MM,Mauke,iva,110.2163498,0.01
MM,Mauke,iva,108.1270842,0.03
MM,Mauke,iva,198.0474814,0.03
MM,Mauke,iva,NA,0.03
MM,Mauke,iva,123.9374172,0.03
MM,Mauke,iva,182.5377093,0.01
JE,Mauke,kaikava,179.1428064,0.07
JA,Mauke,kava,195.373631,0.09
JE,Mauke,kava,160.5223883,0.07
JE,Mauke,kava,160.5223883,0.07
JE,Mauke,kava,150.943203,0.06
JE,Mauke,kava,164.1911622,0.06
MM,Mauke,kava,95.25270806,0.03
MM,Mauke,kava,NA,0.05
MM,Mauke,kavamani,143.0510789,0.03
MSC,Mauke,kavamani,214.2603057,0.05
MSC,Mauke,kavamani,229.4098167,0.03
JE,Mauke,kaveinga,157.7704012,0.04
JE,Mauke,kaveinga,197.7730169,0.06
MSC,Mauke,kaveinga,147.6539242,0.08
MSC,Mauke,kaveinga,209.4251508,0.08
JA,Mauke,kivi,254.2607851,0.06
JA,Mauke,navenave,141.5867014,0.06
JA,Mauke,navenave,89.98980562,0.06
JE,Mauke,nēneva,176.7693681,0.07
JE,Mauke,ovi,149.3352809,0.1
JE,Mauke,ovi,222.3787959,0.08
JE,Mauke,ovi,157.7735783,0.09
MSC,Mauke,oꞌavaiki,NA,0.07
JA,Mauke,rava,176.3885252,0.04
JA,Mauke,rava,184.6497845,0.06
JA,Mauke,rava,178.0216853,0.04
JE,Mauke,rava,177.4197958,0.07
JE,Mauke,rava,151.3713832,0.08
JE,Mauke,rava,196.8128603,0.11
JE,Mauke,rava,174.4372832,0.08
JE,Mauke,rava,225.8616554,0.11
JE,Mauke,rava,167.6426211,0.09
JE,Mauke,rava,158.0807766,0.09
JE,Mauke,rava,211.6087595,0.1
JE,Mauke,rava,248.2854993,0.08
JE,Mauke,rava,189.20991,0.1
JE,Mauke,rava,198.4023355,0.09
MM,Mauke,rava,91.06752485,0.08
MM,Mauke,rava,82.84626038,0.1
MSC,Mauke,rava,276.6083356,0.07
MSC,Mauke,rava,215.5446466,0.06
MSC,Mauke,rava,148.6538077,0.1
MSC,Mauke,rava,194.7366515,0.06
MSC,Mauke,rava,138.7837214,0.08
MSC,Mauke,rava,176.5328574,0.1
MSC,Mauke,rava,242.9686844,0.03
MSC,Mauke,ravaꞌia,179.8635322,0.09
MSC,Mauke,ravaꞌia,154.3388146,0.1
JA,Mauke,rave,189.194034,0.05
JA,Mauke,rave,185.6435982,0.05
JA,Mauke,rave,152.845785,0.07
JA,Mauke,rave,144.8645715,0.06
JA,Mauke,rave,127.1707114,0.01
JA,Mauke,rave,144.3357392,0.06
JA,Mauke,rave,160.8795781,0.05
JA,Mauke,rave,168.7492194,0.06
JA,Mauke,rave,145.4566624,0.05
JA,Mauke,rave,203.8721683,0.06
JA,Mauke,rave,155.7159783,0.06
JA,Mauke,rave,161.5301071,0.06
JA,Mauke,rave,151.1008402,0.04
JE,Mauke,rave,NA,0.07
JE,Mauke,rave,257.3552797,0.07
JE,Mauke,rave,207.5024021,0.05
MM,Mauke,rave,132.7849123,0.06
MM,Mauke,rave,133.1152345,0.03
MM,Mauke,rave,97.81062729,0.09
MM,Mauke,rave,150.8892432,0.09
MM,Mauke,rave,76.56809068,0.03
MM,Mauke,rave,202.1716545,0.08
MM,Mauke,rave,101.8180313,0.03
MM,Mauke,rave,128.6218019,0.08
MM,Mauke,rave,134.5209452,0.05
MSC,Mauke,rave,172.0924995,0.08
MSC,Mauke,raveꞌanga,147.1635815,0.07
JA,Mauke,raveꞌia,150.5171194,0.06
JA,Mauke,raveꞌia,143.7178401,0.07
JA,Mauke,raveꞌia,158.0303064,0.04
JA,Mauke,raveꞌia,149.8977627,0.05
JA,Mauke,raveꞌia,168.6446765,0.07
JA,Mauke,raveꞌia,142.7888344,0.06
JA,Mauke,raveꞌia,179.2012251,0.07
JA,Mauke,raveꞌia,171.1104192,0.06
JE,Mauke,raveꞌia,244.3081714,0.04
MM,Mauke,raveꞌia,123.4416977,0.04
MM,Mauke,raveꞌia,154.1627553,0.08
JA,Mauke,reva,134.737322,0.04
MSC,Mauke,reva,125.168545,0.08
JE,Mauke,ruatakiva,156.9089808,0.1
MSC,Mauke,tuaꞌivi,135.2670996,0.03
JE,Mauke,tuāꞌivi,150.7840091,0.07
JE,Mauke,tuāꞌivi,150.8489974,0.09
JE,Mauke,tuāꞌivi,142.2788794,0.08
JA,Mauke,tāreva,238.3324116,0.03
MM,Mauke,tāviri,NA,0.16
JA,Mauke,tāviriviri,175.9487167,0.03
JA,Mauke,tāviriviri,170.8537063,0.08
JA,Mauke,tīvaivai,174.9796538,0.14
JA,Mauke,tīvaivai,138.7920284,0.14
JA,Mauke,tīvī,80.69193304,0.14
JA,Mauke,tīvī,205.7013614,0.06
JE,Mauke,tūava,275.6406063,0.08
JE,Mauke,tūava,275.6406063,0.08
JE,Mauke,tūava,222.2550683,0.06
JE,Mauke,tūava,222.2550683,0.06
JA,Mauke,vaere,NA,0.08
JA,Mauke,vaerua,155.6602883,0.05
JA,Mauke,vaerua,169.7806547,0.04
MSC,Mauke,vaerua,163.6158776,0.04
JA,Mauke,vai,233.0005735,0.06
JA,Mauke,vai,150.7205387,0.08
JA,Mauke,vai,142.3882054,0.11
JA,Mauke,vai,198.705688,0.05
JA,Mauke,vai,167.0610653,0.03
JA,Mauke,vai,NA,0.05
JA,Mauke,vai,201.6476295,0.07
JA,Mauke,vai,155.9483355,0.05
JA,Mauke,vai,186.8255691,0.05
JA,Mauke,vai,174.8355647,0.05
JE,Mauke,vai,189.1606294,0.09
JE,Mauke,vai,189.1606294,0.09
JE,Mauke,vai,155.569814,0.12
JE,Mauke,vai,171.2787981,0.12
JE,Mauke,vai,157.3111081,0.11
JE,Mauke,vai,175.1790082,0.14
JE,Mauke,vai,204.474842,0.08
JE,Mauke,vai,149.7324871,0.12
JE,Mauke,vai,154.342517,0.11
JE,Mauke,vai,207.1467408,0.11
MM,Mauke,vai,131.0998103,0.03
MM,Mauke,vai,146.9217549,0.04
MM,Mauke,vai,103.6313117,0.06
MM,Mauke,vai,104.5121583,0.05
MM,Mauke,vai,172.2342724,0.05
MM,Mauke,vai,128.4331588,0.03
MSC,Mauke,vai,181.4286536,0.05
MSC,Mauke,vai,167.7824667,0.03
MSC,Mauke,vai,192.1146737,0.03
MSC,Mauke,vai,154.3607415,0.11
MSC,Mauke,vai,227.7553064,0.03
MSC,Mauke,vaikinga,187.3274339,0.05
MSC,Mauke,vaikinga,169.6425013,0.05
JE,Mauke,vairanga,180.7972407,0.04
JE,Mauke,vairanga,180.7972407,0.04
JE,Mauke,vairanga,183.1068493,0.06
MSC,Mauke,vairanga,238.4879028,0.03
MSC,Mauke,vairanga,157.3848844,0.12
JA,Mauke,vairākau,145.8866125,0.09
JA,Mauke,vairākau,147.8416133,0.05
JA,Mauke,vaitata,NA,0.03
MM,Mauke,vaitata,110.3776297,0.03
MM,Mauke,vaitata,105.2877868,0.03
MM,Mauke,vaitata,102.4446764,0.03
MSC,Mauke,vaitata,NA,0.03
MSC,Mauke,vaitata,218.020771,0.03
MSC,Mauke,vaitata,NA,0.03
JA,Mauke,vaito,219.2044956,0.03
JA,Mauke,vaivai,143.5419103,0.09
JA,Mauke,vaivai,154.6348052,0.09
JA,Mauke,vaiꞌi,144.9643881,0.08
MM,Mauke,vaiꞌo,NA,0.04
MSC,Mauke,vaiꞌī,NA,0.08
MSC,Mauke,vaiꞌī,151.6265213,0.12
MSC,Mauke,vaiꞌī,178.5436938,0.03
MSC,Mauke,vaiꞌī,213.0669516,0.03
MSC,Mauke,vaiꞌī,187.2614781,0.03
MSC,Mauke,vaiꞌī,214.3688495,0.03
MSC,Mauke,vaiꞌī,177.9195206,0.03
MSC,Mauke,vaiꞌī,NA,0.03
JE,Mauke,vaka,186.8870362,0.13
JE,Mauke,vaka,163.3950051,0.11
JE,Mauke,vaka,175.7828689,0.11
JE,Mauke,vaka,190.2181101,0.08
JE,Mauke,vaka,201.4412865,0.08
JE,Mauke,vaka,167.5536777,0.07
JE,Mauke,vaka,208.7412978,0.09
JE,Mauke,vaka,180.1781331,0.09
JE,Mauke,vaka,NA,0.07
JE,Mauke,vaka,NA,0.09
JE,Mauke,vaka,207.5223512,0.09
JE,Mauke,vaka,169.2744028,0.08
JE,Mauke,vaka,NA,0.09
JE,Mauke,vaka,242.3779984,0.08
JE,Mauke,vaka,NA,0.09
JE,Mauke,vaka,179.6395133,0.09
JE,Mauke,vaka,222.400082,0.09
JE,Mauke,vaka,194.6705604,0.1
JE,Mauke,vaka,195.8621159,0.1
JE,Mauke,vaka,167.0457065,0.08
JE,Mauke,vaka,NA,0.09
JE,Mauke,vaka,167.5590687,0.09
JE,Mauke,vaka,178.2078704,0.11
JE,Mauke,vaka,156.1164129,0.09
JE,Mauke,vaka,159.3051034,0.08
JE,Mauke,vaka,157.647941,0.1
JE,Mauke,vaka,157.0122475,0.1
JE,Mauke,vaka,161.838888,0.1
JE,Mauke,vaka,152.9411941,0.09
JE,Mauke,vaka,188.5824699,0.1
JE,Mauke,vaka,223.8298554,0.09
JE,Mauke,vaka,177.1567622,0.11
JE,Mauke,vaka,NA,0.11
JE,Mauke,vaka,167.8640835,0.11
JE,Mauke,vaka,191.2041436,0.07
JE,Mauke,vaka,181.4354534,0.1
JE,Mauke,vaka,202.1851758,0.09
JE,Mauke,vaka,156.9742117,0.09
JE,Mauke,vaka,195.7231858,0.09
JE,Mauke,vaka,207.9519451,0.04
JE,Mauke,vaka,163.9207998,0.09
JE,Mauke,vaka,170.913459,0.11
JE,Mauke,vaka,171.4325233,0.11
JE,Mauke,vaka,167.5052163,0.08
JE,Mauke,vaka,232.1853095,0.09
JE,Mauke,vaka,198.9123162,0.09
JE,Mauke,vaka,165.7924781,0.06
JE,Mauke,vaka,154.7316448,0.1
JE,Mauke,vaka,156.6462222,0.1
JE,Mauke,vaka,175.748151,0.06
JE,Mauke,vaka,195.0944708,0.08
JE,Mauke,vaka,243.4235948,0.05
JE,Mauke,vaka,179.990236,0.08
JE,Mauke,vaka,159.4669215,0.1
JE,Mauke,vaka,187.0386367,0.08
JE,Mauke,vaka,211.5119871,0.07
JE,Mauke,vaka,168.8021088,0.08
JE,Mauke,vaka,157.9367665,0.1
JE,Mauke,vaka,142.1482822,0.09
JE,Mauke,vaka,173.5745228,0.06
JE,Mauke,vaka,208.1161691,0.06
JE,Mauke,vaka,162.5512635,0.07
JE,Mauke,vaka,147.9244648,0.09
JE,Mauke,vaka,159.7150595,0.09
JE,Mauke,vaka,181.4923409,0.07
JE,Mauke,vaka,153.748224,0.07
JE,Mauke,vaka,NA,0.03
JE,Mauke,vaka,273.7170496,0.03
JE,Mauke,vaka,218.1958826,0.01
JE,Mauke,vaka,277.5122205,0.03
MM,Mauke,vaka,135.1516162,0.03
MM,Mauke,vaka,154.6920968,0.03
MM,Mauke,vaka,283.8047145,0.03
MM,Mauke,vaka,NA,0.03
MM,Mauke,vaka,216.9623982,0.03
MM,Mauke,vaka,126.1720604,0.03
MM,Mauke,vaka,95.7926354,0.05
MM,Mauke,vaka,170.5707263,0.03
MM,Mauke,vaka,159.2888185,0.04
MM,Mauke,vaka,NA,0.03
MM,Mauke,vaka,172.2816444,0.04
MM,Mauke,vaka,123.6291652,0.03
MM,Mauke,vaka,167.5985275,0.09
MM,Mauke,vaka,124.8294399,0.11
MM,Mauke,vaka,NA,0.03
MSC,Mauke,vaka,173.5786294,0.05
MSC,Mauke,vaka,180.6566581,0.06
JE,Mauke,vao,NA,0.09
JA,Mauke,varaini,236.9619978,0.05
JA,Mauke,varaire,174.3446535,0.05
JA,Mauke,varani,137.4560436,0.03
JA,Mauke,varani,160.1121195,0.06
JA,Mauke,varani,135.5732406,0.06
JA,Mauke,varani,235.5582778,0.06
JA,Mauke,varani,142.4297184,0.06
JA,Mauke,varani,195.5308992,0.06
MSC,Mauke,varani,160.446179,0.03
JA,Mauke,varea,157.4074871,0.05
JA,Mauke,vareaꞌia,NA,0.04
JA,Mauke,vari,226.8108681,0.04
JA,Mauke,varu,150.4722563,0.1
MSC,Mauke,varāoa,150.1980423,0.08
JA,Mauke,vave,183.9761466,0.07
JA,Mauke,vave,208.592168,0.06
JA,Mauke,vave,189.0101585,0.07
JA,Mauke,vave,173.9649879,0.06
JA,Mauke,vave,137.6073801,0.07
JA,Mauke,vave,140.0664017,0.08
JA,Mauke,vave,184.9027192,0.07
JA,Mauke,vave,170.9157715,0.07
JA,Mauke,vave,155.4371596,0.03
JA,Mauke,vave,152.3634739,0.07
MSC,Mauke,vave,191.554638,0.05
MSC,Mauke,vave,206.8117054,0.07
JA,Mauke,vavia,161.9286047,0.04
JA,Mauke,vavia,163.3661957,0.05
JA,Mauke,vavia,275.0865773,0.03
JA,Mauke,vavia,271.1397035,0.03
JA,Mauke,vaꞌa,276.2734824,0.04
MM,Mauke,vaꞌa,118.5720306,0.04
MM,Mauke,vaꞌa,96.60070503,0.07
JA,Mauke,vaꞌarua,201.2159468,0.03
MSC,Mauke,vaꞌeꞌau,145.0311107,0.03
JA,Mauke,vaꞌine,162.7439975,0.07
JA,Mauke,vaꞌine,160.0927683,0.03
JA,Mauke,vaꞌine,164.1496971,0.07
JA,Mauke,vaꞌine,148.5622426,0.09
JA,Mauke,vaꞌine,149.0833045,0.05
JA,Mauke,vaꞌine,132.4629891,0.16
JA,Mauke,vaꞌine,171.5065817,0.07
JA,Mauke,vaꞌine,189.878489,0.07
JA,Mauke,vaꞌine,150.9435821,0.09
JE,Mauke,vaꞌine,191.6160309,0.08
JE,Mauke,vaꞌine,192.7419213,0.06
JE,Mauke,vaꞌine,197.786202,0.09
JE,Mauke,vaꞌine,233.5972375,0.09
JE,Mauke,vaꞌine,176.6685949,0.08
JE,Mauke,vaꞌine,184.8533728,0.08
JE,Mauke,vaꞌine,159.5355683,0.09
JE,Mauke,vaꞌine,175.2824025,0.09
JE,Mauke,vaꞌine,191.1577969,0.07
JE,Mauke,vaꞌine,173.9355577,0.1
JE,Mauke,vaꞌine,225.7050854,0.07
JE,Mauke,vaꞌine,166.7170301,0.04
JE,Mauke,vaꞌine,217.8364242,0.07
JE,Mauke,vaꞌine,217.8364242,0.07
MM,Mauke,vaꞌine,123.1843884,0.03
MM,Mauke,vaꞌine,NA,0.03
MM,Mauke,vaꞌine,NA,0.03
MM,Mauke,vaꞌine,156.4873695,0.03
MM,Mauke,vaꞌine,119.0263837,0.03
MM,Mauke,vaꞌine,98.60772581,0.03
MM,Mauke,vaꞌine,97.09046465,0.03
MM,Mauke,vaꞌine,170.9478254,0.03
MM,Mauke,vaꞌine,NA,0.03
MM,Mauke,vaꞌine,137.727363,0.03
MM,Mauke,vaꞌine,101.6008395,0.03
MSC,Mauke,vaꞌine,206.6105956,0.03
JA,Mauke,vaꞌiē,170.628806,0.04
JA,Mauke,vaꞌiē,247.5538217,0.05
JA,Mauke,vaꞌiē,141.9407513,0.05
JA,Mauke,vaꞌo,190.3786415,0.03
JA,Mauke,vaꞌo,148.0406373,0.11
JA,Mauke,vaꞌo,210.0498327,0.05
JA,Mauke,vaꞌo,152.856354,0.01
JA,Mauke,vaꞌo,154.6958393,0.11
JA,Mauke,vaꞌo,153.3737594,0.03
JA,Mauke,vaꞌo,165.1920154,0.03
JA,Mauke,vaꞌo,147.5565309,0.06
JA,Mauke,vaꞌo,170.1145992,0.14
JA,Mauke,vaꞌo,215.4732686,0.04
JA,Mauke,vaꞌo,171.4993684,0.03
JA,Mauke,vaꞌo,168.3603532,0.06
JA,Mauke,vaꞌo,170.0873018,0.03
JE,Mauke,vaꞌo,145.261878,0.15
MSC,Mauke,vaꞌo,183.4863962,0.07
MSC,Mauke,vaꞌo,174.7934885,0.08
MSC,Mauke,vaꞌo,201.6303064,0.03
JA,Mauke,vaꞌī,100.5773791,0.12
JA,Mauke,vaꞌī,NA,0.07
JA,Mauke,vera,249.5851164,0.03
JA,Mauke,veravera,159.071489,0.05
JA,Mauke,veravera,165.1932054,0.1
JE,Mauke,veritūamaroa,184.368826,0.05
JE,Mauke,veritūamaroa,169.5065531,0.04
JE,Mauke,veritūamaroa,176.6275712,0.04
JA,Mauke,vetiꞌia,151.200705,0.01
JA,Mauke,veꞌeveꞌe,161.3654865,0.05
JA,Mauke,veꞌeveꞌe,167.8531779,0.08
JA,Mauke,vinivini,159.3215011,0.1
JA,Mauke,vinivini,210.9649898,0.03
JA,Mauke,vinivini,92.33738305,0.25
JA,Mauke,vinivini,192.5580419,0.03
JA,Mauke,viriꞌia,149.5936627,0.12
JA,Mauke,viriꞌia,144.4644038,0.13
JA,Mauke,vitiviti,149.5714999,0.07
JA,Mauke,vitiviti,170.0772103,0.05
JA,Mauke,viviki,157.2275221,0.07
JA,Mauke,viviki,160.5461706,0.15
MSC,Mauke,viviki,154.8149474,0.03
MSC,Mauke,viviki,206.8712948,0.03
JA,Mauke,viꞌiviꞌi,165.2256389,0.03
JA,Mauke,viꞌiviꞌi,168.9427073,0.03
JA,Mauke,vā,143.500323,0.1
JA,Mauke,vāvia,159.5639642,0.08
JA,Mauke,vāvia,183.3972304,0.04
JA,Mauke,vāvia,183.0455409,0.08
JA,Mauke,vāvia,262.8627366,0.05
MM,Mauke,vāvie,100.3193513,0.01
MM,Mauke,vāvie,115.7457703,0.04
JA,Mauke,vāvā,164.6078009,0.07
JA,Mauke,vāvā,151.9011989,0.05
JA,Mauke,vāvā,157.4633742,0.09
JA,Mauke,vāvā,169.6557517,0.09
JE,Mauke,vēꞌi,151.8128369,0.06
JE,Mauke,vēꞌi,151.8128369,0.06
JE,Mauke,vēꞌi,158.2660968,0.05
JE,Mauke,vēꞌi,158.2660968,0.05
JE,Mauke,vēꞌī,161.1925387,0.07
JE,Mauke,vēꞌī,161.1925387,0.07
JE,Mauke,vēꞌī,169.5003818,0.09
JE,Mauke,vēꞌī,169.5003818,0.09
JE,Mauke,vēꞌī,165.4263439,0.04
JE,Mauke,vēꞌī,165.4263439,0.04
JE,Mauke,vēꞌī,NA,0.01
JE,Mauke,vēꞌī,154.9212294,0.07
JE,Mauke,vēꞌī,NA,0.01
JE,Mauke,vēꞌī,154.9212294,0.07
JE,Mauke,vēꞌī,160.0990871,0.11
JE,Mauke,vēꞌī,160.0990871,0.11
JA,Mauke,vī,137.9717352,0.06
JE,Mauke,ꞌakarevaꞌia,261.2573639,0.07
JE,Mauke,ꞌakarevaꞌia,240.9362039,0.07
JE,Mauke,ꞌakarevaꞌia,219.382729,0.07
JE,Mauke,ꞌakarevaꞌia,201.198516,0.08
JA,Mauke,ꞌakavaꞌavaꞌa,171.4008307,0.08
JA,Mauke,ꞌakavaꞌavaꞌa,177.7384202,0.07
JA,Mauke,ꞌakavaꞌavaꞌaꞌia,156.1327699,0.07
JA,Mauke,ꞌakavaꞌavaꞌaꞌia,162.143812,0.08
JA,Mauke,ꞌakavaꞌavaꞌaꞌia,161.8798363,0.07
JA,Mauke,ꞌakavaꞌavaꞌaꞌia,159.9119954,0.06
JA,Mauke,ꞌakavaꞌavaꞌva,183.8903647,0.06
JA,Mauke,ꞌakavaꞌavaꞌva,188.2575011,0.05
JA,Mauke,ꞌakavaꞌavaꞌva,79.27915519,0.03
MSC,Mauke,ꞌavaiki,187.6569752,0.06
MSC,Mauke,ꞌavaiki,144.8136347,0.1
MSC,Mauke,ꞌavaiki,140.9785741,0.04
JA,Mauke,ꞌānēnevaꞌia,224.4299403,0.07
JA,Mauke,ꞌārāvei,150.9252764,0.07
JA,Mauke,ꞌārāvei,132.4522853,0.05
JA,Mauke,ꞌārāvei,178.8593211,0.03
JA,Mauke,ꞌāvata,NA,0.08
JA,Mauke,ꞌāviri,169.5229581,0.06
BPT,Penrhyn,iva,163.6668838,0.07
BPT,Penrhyn,iva,137.6705245,0.09
BPT,Penrhyn,ivi,146.4893113,0.1
BPT,Penrhyn,ivi,146.7421502,0.09
BPT,Penrhyn,ivi,151.665946,0.13
BPT,Penrhyn,ivi,110.3363397,0.16
BPT,Penrhyn,ivi,100.7737665,0.19
BPT,Penrhyn,ivi,157.1753146,0.04
BPT,Penrhyn,ivi,149.7729534,0.17
BPT,Penrhyn,kave,122.229538,0.05
BPT,Penrhyn,kiva,170.7449326,0.01
BPT,Penrhyn,mākave,177.3270517,0.03
BPT,Penrhyn,nukuteveri,123.5800238,0.03
BPT,Penrhyn,rava,147.5406946,0.12
BPT,Penrhyn,rava,181.9103303,0.09
BPT,Penrhyn,rava,168.258139,0.11
BPT,Penrhyn,rava,145.6566658,0.08
BPT,Penrhyn,rava,186.4607159,0.08
BPT,Penrhyn,rava,169.740333,0.12
BPT,Penrhyn,rava,189.1101321,0.07
BPT,Penrhyn,rava,133.2186279,0.11
BPT,Penrhyn,rava,133.8861909,0.08
BPT,Penrhyn,rava,176.4611111,0.1
BPT,Penrhyn,rava,147.9402119,0.13
BPT,Penrhyn,rava,163.0369316,0.08
BPT,Penrhyn,rava,134.1132972,0.09
BPT,Penrhyn,rava,153.9509916,0.11
BPT,Penrhyn,rava,162.2145434,0.09
BPT,Penrhyn,rava,103.617461,0.13
BPT,Penrhyn,rava,137.720907,0.1
BPT,Penrhyn,ravakai,136.4589103,0.1
BPT,Penrhyn,ravakai,134.934831,0.08
BPT,Penrhyn,ravakai,160.2522273,0.1
BPT,Penrhyn,ravakai,146.4802292,0.09
BPT,Penrhyn,ravakai,116.7053215,0.11
BPT,Penrhyn,ravakai,109.2063876,0.06
BPT,Penrhyn,ravarava,118.1375716,0.09
